project_name,gen_tech,load_zone,full_load_heat_rate,connect_cost_per_mw,variable_o_m,forced_outage_rate,scheduled_outage_rate,capacity_limit_mw,start_year,capacity_mw,overnight_cost,fixed_o_m,project_id,being_built,fuel_code,fuel_oil,balancing_area
los_cabos_3_tg,gas_turbine_diesel,09-baja_california_sur-la_paz,18.10,0.00,,,5.50,26.60,,26.60,,,28.00,operational,d_bcn,diesel,52-los_cabos
punta_prieta_ii_u1,thermal_diesel,09-baja_california_sur-la_paz,12.00,0.00,,,7.10,35.10,,35.10,,,29.00,operational,d_bcn,diesel,51-la_paz
punta_prieta_ii_u2,thermal_diesel,09-baja_california_sur-la_paz,12.00,0.00,,,7.10,35.10,,35.10,,,30.00,operational,d_bcn,diesel,51-la_paz
punta_prieta_ii_u3,thermal_diesel,09-baja_california_sur-la_paz,12.00,0.00,,,7.10,35.10,,35.10,,,31.00,operational,d_bcn,diesel,51-la_paz
san_carlos_u1,internal_combustion_fuel_oil,09-baja_california_sur-la_paz,8.40,0.00,,,7.40,30.40,,30.40,,,32.00,operational,c_n_chih,fuel_oil,50-villa_constitucion
san_carlos_u2,internal_combustion_fuel_oil,09-baja_california_sur-la_paz,8.40,0.00,,,7.40,30.40,,30.40,,,33.00,operational,c_n_chih,fuel_oil,50-villa_constitucion
san_carlos_u3,internal_combustion_fuel_oil,09-baja_california_sur-la_paz,8.40,0.00,,,7.40,39.60,,39.60,,,34.00,operational,c_n_chih,fuel_oil,50-villa_constitucion
santa_rosalia_u1_u2,internal_combustion_fuel_oil,10-baja_california_sur-mulege,10.30,0.00,,,7.40,2.40,,2.40,,,35.00,operational,c_n_vizc,fuel_oil,53-mulege
santa_rosalia_u3_ci,internal_combustion_fuel_oil,10-baja_california_sur-mulege,15.40,0.00,,,7.40,1.10,,1.10,,,36.00,operational,c_n_vizc,fuel_oil,53-mulege
santa_rosalia_u4_ci,internal_combustion_fuel_oil,10-baja_california_sur-mulege,15.40,0.00,,,7.40,1.10,,1.10,,,37.00,operational,c_n_vizc,fuel_oil,53-mulege
santa_rosalia_u5_ci,internal_combustion_fuel_oil,10-baja_california_sur-mulege,15.40,0.00,,,7.40,2.60,,2.60,,,38.00,operational,c_n_vizc,fuel_oil,53-mulege
tres_virgcos_central,geothermal,10-baja_california_sur-mulege,0.00,0.00,,,14.10,9.40,,9.40,,,39.00,operational,,,53-mulege
u_movil,internal_combustion_fuel_oil,10-baja_california_sur-mulege,10.30,0.00,,,7.40,6.90,,6.90,,,40.00,operational,c_n_vizc,fuel_oil,53-mulege
chicoasen,hydroelectric,02-oriental,0.00,0.00,,,1.00,2101.40,,2101.40,,,41.00,operational,,,39-grijalva
aragon,gas_turbine_natural_gas,01-central,10.10,0.00,,,5.50,31.20,,31.20,,,42.00,operational,g_central,natural_gas,31-central
atenco_lyfc,gas_turbine_natural_gas,01-central,9.90,0.00,,,5.50,31.20,,31.20,,,43.00,operational,g_central,natural_gas,31-central
coapa,gas_turbine_natural_gas,01-central,9.80,0.00,,,5.50,31.20,,31.20,,,44.00,operational,g_central,natural_gas,31-central
coyotepec,gas_turbine_natural_gas,01-central,10.10,0.00,,,5.50,62.40,,62.40,,,45.00,operational,g_central,natural_gas,31-central
cuautitlan_lyfc,gas_turbine_natural_gas,01-central,10.00,0.00,,,5.50,31.20,,31.20,,,46.00,operational,g_central,natural_gas,31-central
ecatepec_lyfc,gas_turbine_natural_gas,01-central,10.20,0.00,,,5.50,31.20,,31.20,,,47.00,operational,g_central,natural_gas,31-central
infiernillo,hydroelectric,03-occidental,0.00,0.00,,,1.00,1050.70,,1050.70,,,48.00,operational,,,29-lazaro_cardenas
iztapalapa_lyfc,gas_turbine_natural_gas,01-central,10.00,0.00,,,5.50,31.20,,31.20,,,49.00,operational,g_central,natural_gas,31-central
malpaso,hydroelectric,02-oriental,0.00,0.00,,,1.00,945.60,,945.60,,,50.00,operational,,,39-grijalva
magdalena,gas_turbine_natural_gas,01-central,10.10,0.00,,,5.50,31.20,,31.20,,,51.00,operational,g_central,natural_gas,31-central
aguamilpa_solidaridad,hydroelectric,03-occidental,0.00,0.00,,,1.00,840.60,,840.60,,,52.00,operational,,,22-tepic
nonoalco_lyfc_u1,gas_turbine_natural_gas,01-central,21.20,0.00,,,5.50,31.20,,31.20,,,53.00,operational,g_central,natural_gas,31-central
nonoalco_lyfc_u2,gas_turbine_natural_gas,01-central,21.20,0.00,,,5.50,31.20,,31.20,,,54.00,operational,g_central,natural_gas,31-central
nonoalco_lyfc_u3,gas_turbine_natural_gas,01-central,21.20,0.00,,,5.50,41.00,,41.00,,,55.00,operational,g_central,natural_gas,31-central
angostura,hydroelectric,02-oriental,0.00,0.00,,,1.00,788.00,,788.00,,,56.00,operational,,,39-grijalva
remedios_lyfc,gas_turbine_natural_gas,01-central,9.60,0.00,,,5.50,31.20,,31.20,,,57.00,operational,g_central,natural_gas,31-central
santa_cruz,gas_turbine_natural_gas,01-central,10.10,0.00,,,5.50,31.20,,31.20,,,58.00,operational,g_central,natural_gas,31-central
el_cajon,hydroelectric,03-occidental,0.00,0.00,,,1.00,656.70,,656.70,,,59.00,operational,,,23-guadalajara
tula,combined_cycle_natural_gas,01-central,10.00,0.00,,,7.70,474.80,,474.80,,,60.00,operational,g,natural_gas,31-central
tula_tc_u1,thermal_fuel_oil,01-central,10.00,0.00,,,7.10,314.50,,314.50,,,61.00,operational,c_n_tula,fuel_oil,31-central
tula_tc_u2,thermal_fuel_oil,01-central,10.00,0.00,,,7.10,314.50,,314.50,,,62.00,operational,c_n_tula,fuel_oil,31-central
tula_tc_u3,thermal_fuel_oil,01-central,10.00,0.00,,,7.10,307.60,,307.60,,,63.00,operational,c_n_tula,fuel_oil,31-central
tula_tc_u4,thermal_fuel_oil,01-central,10.00,0.00,,,7.10,307.60,,307.60,,,64.00,operational,c_n_tula,fuel_oil,31-central
tula_tc_u5,thermal_fuel_oil,01-central,10.00,0.00,,,7.10,285.90,,285.90,,,65.00,operational,c_n_tula,fuel_oil,31-central
valle_de_mexico,combined_cycle_natural_gas,01-central,11.30,0.00,,,7.70,534.50,,534.50,,,66.00,operational,g,natural_gas,31-central
valle_de_mexico_tc_u1,thermal_fuel_oil,01-central,9.50,0.00,,,7.10,140.40,,140.40,,,67.00,operational,c_n_tula,fuel_oil,31-central
valle_de_mexico_tc_u2,thermal_fuel_oil,01-central,9.50,0.00,,,7.10,140.40,,140.40,,,68.00,operational,c_n_tula,fuel_oil,31-central
valle_de_mexico_tc_u3,thermal_fuel_oil,01-central,9.50,0.00,,,7.10,140.40,,140.40,,,69.00,operational,c_n_tula,fuel_oil,31-central
vallejo_lyfc,gas_turbine_natural_gas,01-central,10.00,0.00,,,5.50,31.20,,31.20,,,70.00,operational,g_central,natural_gas,31-central
victoria_lyfc,gas_turbine_natural_gas,01-central,10.10,0.00,,,5.50,31.20,,31.20,,,71.00,operational,g_central,natural_gas,31-central
villa_de_las_flores_lyfc,gas_turbine_natural_gas,01-central,10.60,0.00,,,5.50,31.20,,31.20,,,72.00,operational,g_central,natural_gas,31-central
la_yesca,hydroelectric,03-occidental,0.00,0.00,,,1.00,656.70,,656.70,,,73.00,operational,,,23-guadalajara
guerrero_negro_ii_tgmovil,gas_turbine_diesel,10-baja_california_sur-mulege,27.80,0.00,,,5.50,12.20,,12.20,,,74.00,operational,d_bcn,diesel,53-mulege
guerrero_negro_eolica,eolic,10-baja_california_sur-mulege,0.00,0.00,,,0.00,0.10,,0.10,,,75.00,operational,,,53-mulege
sta_rosalia,solar,10-baja_california_sur-mulege,0.00,0.00,,,0.00,1.00,,1.00,,,76.00,operational,,,53-mulege
u_movil_cfe-ume,gas_turbine_diesel,10-baja_california_sur-mulege,11.90,0.00,,,5.50,55.60,,55.60,,,77.00,operational,d_bcn,diesel,53-mulege
u_movil_de_emergencia_ume-18,internal_combustion_fuel_oil,10-baja_california_sur-mulege,10.30,0.00,,,7.40,1.50,,1.50,,,78.00,operational,c_n_vizc,fuel_oil,53-mulege
u_movil_de_emergencia_ume-19,internal_combustion_fuel_oil,10-baja_california_sur-mulege,10.30,0.00,,,7.40,1.50,,1.50,,,79.00,operational,c_n_vizc,fuel_oil,53-mulege
u_movil_de_emergencia_ume-20,internal_combustion_fuel_oil,10-baja_california_sur-mulege,10.30,0.00,,,7.40,1.50,,1.50,,,80.00,operational,c_n_vizc,fuel_oil,53-mulege
vizcaino,gas_turbine_diesel,10-baja_california_sur-mulege,37.20,0.00,,,5.50,13.70,,13.70,,,81.00,operational,d_bcn,diesel,53-mulege
caracol,hydroelectric,02-oriental,0.00,0.00,,,1.00,525.40,,525.40,,,82.00,operational,,,35-acapulco
chavez_u1,gas_turbine_natural_gas,05-norte,24.80,0.00,,,5.50,13.70,,13.70,,,83.00,operational,zzon_nort,natural_gas,11-laguna
chavez_u2,gas_turbine_natural_gas,05-norte,24.80,0.00,,,5.50,13.70,,13.70,,,84.00,operational,zzon_nort,natural_gas,11-laguna
chihuahua_ii,combined_cycle_natural_gas,05-norte,6.90,0.00,,,7.70,602.70,,602.70,,,85.00,operational,zzon_nort,natural_gas,09-chihuahua
huites,hydroelectric,04-noroeste,0.00,0.00,,,1.00,105.00,,105.00,,,86.00,operational,,,03-obregon
francisco_villa_u4,thermal_fuel_oil,05-norte,11.00,0.00,,,7.10,140.40,,140.40,,,87.00,operational,c_n_chih,fuel_oil,09-chihuahua
francisco_villa_u5,thermal_fuel_oil,05-norte,11.00,0.00,,,7.10,140.40,,140.40,,,88.00,operational,c_n_chih,fuel_oil,09-chihuahua
gomez_palacio,combined_cycle_natural_gas,05-norte,9.70,0.00,,,7.70,233.60,,233.60,,,89.00,operational,zzon_nort,natural_gas,11-laguna
industrial_juarez,gas_turbine_natural_gas,05-norte,19.10,0.00,,,5.50,17.60,,17.60,,,90.00,operational,zzon_nort,natural_gas,07-juarez
la_laguna_ii,combined_cycle_natural_gas,05-norte,8.00,0.00,,,7.70,483.60,,483.60,,,91.00,operational,zzon_nort,natural_gas,11-laguna
la_laguna_u1_tg,gas_turbine_natural_gas,05-norte,19.50,0.00,,,5.50,13.70,,13.70,,,92.00,operational,zzon_nort,natural_gas,11-laguna
la_laguna_u2_tg,gas_turbine_natural_gas,05-norte,19.50,0.00,,,5.50,13.70,,13.70,,,93.00,operational,zzon_nort,natural_gas,11-laguna
la_laguna_u3_tg,gas_turbine_natural_gas,05-norte,19.50,0.00,,,5.50,13.70,,13.70,,,94.00,operational,zzon_nort,natural_gas,11-laguna
la_laguna_u4_tg,gas_turbine_natural_gas,05-norte,19.50,0.00,,,5.50,13.70,,13.70,,,95.00,operational,zzon_nort,natural_gas,11-laguna
lerdo_u1,thermal_fuel_oil,05-norte,10.60,0.00,,,7.10,149.80,,149.80,,,96.00,operational,c_n_gpal,fuel_oil,11-laguna
lerdo_u2,thermal_fuel_oil,05-norte,10.60,0.00,,,7.10,149.80,,149.80,,,97.00,operational,c_n_gpal,fuel_oil,11-laguna
norte_ii,combined_cycle_natural_gas,05-norte,7.00,0.00,,,7.70,420.00,,420.00,,,98.00,operational,zzon_nort,natural_gas,09-chihuahua
norte,combined_cycle_natural_gas,05-norte,7.30,0.00,,,7.70,437.00,,437.00,,,99.00,operational,zzon_nort,natural_gas,10-durango
parque_u2,gas_turbine_diesel,05-norte,26.90,0.00,,,5.50,17.60,,17.60,,,100.00,operational,d_naciona,diesel,07-juarez
parque_u3,gas_turbine_diesel,05-norte,26.90,0.00,,,5.50,12.70,,12.70,,,101.00,operational,d_naciona,diesel,07-juarez
parque_u4,gas_turbine_diesel,05-norte,9.60,0.00,,,5.50,27.30,,27.30,,,102.00,operational,d_naciona,diesel,07-juarez
samalayuca_ii,combined_cycle_natural_gas,05-norte,7.90,0.00,,,7.70,507.70,,507.70,,,103.00,operational,zzon_nort,natural_gas,07-juarez
samalayuca_u1,thermal_fuel_oil,05-norte,11.50,0.00,,,7.10,147.90,,147.90,,,104.00,operational,c_n_sama,fuel_oil,07-juarez
samalayuca_u2,thermal_fuel_oil,05-norte,11.50,0.00,,,7.10,147.90,,147.90,,,105.00,operational,c_n_sama,fuel_oil,07-juarez
transalta_chihuahua_iii,combined_cycle_natural_gas,05-norte,8.60,0.00,,,7.70,252.30,,252.30,,,106.00,operational,zzon_nort,natural_gas,07-juarez
penitas,hydroelectric,02-oriental,0.00,0.00,,,1.00,367.80,,367.80,,,107.00,operational,,,38-tabasco
temascal,hydroelectric,02-oriental,0.00,0.00,,,1.00,310.00,,310.00,,,108.00,operational,,,36-temascal
culiacan,gas_turbine_diesel,04-noroeste,15.40,0.00,,,5.50,29.30,,29.30,,,109.00,operational,d_naciona,diesel,05-culiacan
villita,hydroelectric,03-occidental,0.00,0.00,,,1.00,280.20,,280.20,,,110.00,operational,,,29-lazaro_cardenas
zimapan,hydroelectric,03-occidental,0.00,0.00,,,1.00,253.10,,253.10,,,111.00,operational,,,30-queretaro
fuerza_y_energia_de_hermosillo,combined_cycle_natural_gas,04-noroeste,7.00,0.00,,,7.70,243.50,,243.50,,,112.00,operational,zzon_noro,natural_gas,01-hermosillo
guaymas_ii_u1,thermal_fuel_oil,04-noroeste,10.80,0.00,,,7.10,78.70,,78.70,,,113.00,operational,c_n_guay,fuel_oil,03-obregon
guaymas_ii_u2,thermal_fuel_oil,04-noroeste,10.80,0.00,,,7.10,78.70,,78.70,,,114.00,operational,c_n_guay,fuel_oil,03-obregon
guaymas_ii_u3,thermal_fuel_oil,04-noroeste,10.80,0.00,,,7.10,147.90,,147.90,,,115.00,operational,c_n_guay,fuel_oil,03-obregon
guaymas_ii_u4,thermal_fuel_oil,04-noroeste,10.80,0.00,,,7.10,147.90,,147.90,,,116.00,operational,c_n_guay,fuel_oil,03-obregon
hermosillo,combined_cycle_natural_gas,04-noroeste,7.30,0.00,,,7.70,221.10,,221.10,,,117.00,operational,zzon_noro,natural_gas,01-hermosillo
agua_prieta,hydroelectric,03-occidental,0.00,0.00,,,1.00,184.40,,184.40,,,118.00,operational,,,23-guadalajara
mazatepec,hydroelectric,02-oriental,0.00,0.00,,,1.00,169.00,,169.00,,,119.00,operational,,,32-poza_rica
industrial_caborca_u1,gas_turbine_diesel,04-noroeste,20.70,0.00,,,5.50,11.70,,11.70,,,120.00,operational,d_naciona,diesel,01-hermosillo
industrial_caborca_u2,gas_turbine_diesel,04-noroeste,20.70,0.00,,,5.50,29.30,,29.30,,,121.00,operational,d_naciona,diesel,01-hermosillo
mazatlan_ii_u1,thermal_fuel_oil,04-noroeste,10.50,0.00,,,7.10,147.90,,147.90,,,122.00,operational,c_n_maza,fuel_oil,06-mazatlan
mazatlan_ii_u2,thermal_fuel_oil,04-noroeste,10.50,0.00,,,7.10,147.90,,147.90,,,123.00,operational,c_n_maza,fuel_oil,06-mazatlan
mazatlan_ii_u3,thermal_fuel_oil,04-noroeste,10.50,0.00,,,7.10,285.90,,285.90,,,124.00,operational,c_n_maza,fuel_oil,06-mazatlan
el_novillo,hydroelectric,04-noroeste,0.00,0.00,,,1.00,33.20,,33.20,,,125.00,operational,,,01-hermosillo
naco_nogales,combined_cycle_natural_gas,04-noroeste,7.10,0.00,,,7.70,251.30,,251.30,,,126.00,operational,zzon_noro,natural_gas,02-cananea
necaxa,hydroelectric,02-oriental,0.00,0.00,,,1.00,83.70,,83.70,,,127.00,operational,,,32-poza_rica
puerto_libertad_u1,thermal_fuel_oil,04-noroeste,10.40,0.00,,,7.10,147.90,,147.90,,,128.00,operational,c_n_plibe,fuel_oil,01-hermosillo
puerto_libertad_u2,thermal_fuel_oil,04-noroeste,10.40,0.00,,,7.10,147.90,,147.90,,,129.00,operational,c_n_plibe,fuel_oil,01-hermosillo
puerto_libertad_u3,thermal_fuel_oil,04-noroeste,10.40,0.00,,,7.10,147.90,,147.90,,,130.00,operational,c_n_plibe,fuel_oil,01-hermosillo
puerto_libertad_u4,thermal_fuel_oil,04-noroeste,10.40,0.00,,,7.10,147.90,,147.90,,,131.00,operational,c_n_plibe,fuel_oil,01-hermosillo
comedero,hydroelectric,04-noroeste,0.00,0.00,,,1.00,24.60,,24.60,,,132.00,operational,,,05-culiacan
topolobampo_ii_u1,thermal_fuel_oil,04-noroeste,10.30,0.00,,,7.10,149.80,,149.80,,,133.00,operational,c_n_topo,fuel_oil,04-los_mochis
topolobampo_ii_u2,thermal_fuel_oil,04-noroeste,10.30,0.00,,,7.10,149.80,,149.80,,,134.00,operational,c_n_topo,fuel_oil,04-los_mochis
yecora_u1,internal_combustion_fuel_oil,04-noroeste,12.20,0.00,,,7.40,0.20,,0.20,,,135.00,operational,c_n_guay,fuel_oil,03-obregon
yecora_u2,internal_combustion_fuel_oil,04-noroeste,12.20,0.00,,,7.40,0.20,,0.20,,,136.00,operational,c_n_guay,fuel_oil,03-obregon
yecora_u3,internal_combustion_fuel_oil,04-noroeste,12.20,0.00,,,7.40,0.60,,0.60,,,137.00,operational,c_n_guay,fuel_oil,03-obregon
yecora_u4,internal_combustion_fuel_oil,04-noroeste,12.20,0.00,,,7.40,0.60,,0.60,,,138.00,operational,c_n_guay,fuel_oil,03-obregon
altamira_ii,combined_cycle_natural_gas,06-noreste,7.40,0.00,,,7.70,480.70,,480.70,,,139.00,operational,gn_altam,natural_gas,19-huasteca
altamira_iii_y_iv,combined_cycle_natural_gas,06-noreste,7.30,0.00,,,7.70,1004.90,,1004.90,,,140.00,operational,gn_altam,natural_gas,19-huasteca
altamira_v,combined_cycle_natural_gas,06-noreste,7.40,0.00,,,7.70,1087.40,,1087.40,,,141.00,operational,gn_altam,natural_gas,19-huasteca
altamira_u3,thermal_fuel_oil,06-noreste,11.10,0.00,,,7.10,234.00,,234.00,,,142.00,operational,c_n_alta,fuel_oil,19-huasteca
altamira_u4,thermal_fuel_oil,06-noreste,11.10,0.00,,,7.10,234.00,,234.00,,,143.00,operational,c_n_alta,fuel_oil,19-huasteca
carbon_ii_u1,carboelectric_coal,06-noreste,10.20,0.00,,,6.40,335.00,,335.00,,,144.00,operational,ca_i_car2,coal,12-rio_escondido
carbon_ii_u2,carboelectric_coal,06-noreste,10.20,0.00,,,6.40,335.00,,335.00,,,145.00,operational,ca_i_car2,coal,12-rio_escondido
carbon_ii_u3,carboelectric_coal,06-noreste,10.20,0.00,,,6.40,335.00,,335.00,,,146.00,operational,ca_i_car2,coal,12-rio_escondido
carbon_ii_u4,carboelectric_coal,06-noreste,10.20,0.00,,,6.40,335.00,,335.00,,,147.00,operational,ca_i_car2,coal,12-rio_escondido
bacurato,hydroelectric,04-noroeste,0.00,0.00,,,1.00,22.70,,22.70,,,148.00,operational,,,04-los_mochis
humaya,hydroelectric,04-noroeste,0.00,0.00,,,1.00,22.20,,22.20,,,149.00,operational,,,05-culiacan
cupatitzio,hydroelectric,03-occidental,0.00,0.00,,,1.00,61.50,,61.50,,,150.00,operational,,,28-carapan
fundidora,gas_turbine_natural_gas,06-noreste,21.60,0.00,,,5.50,11.70,,11.70,,,151.00,operational,g_ahnrr,natural_gas,16-monterrey
huinala_ii,combined_cycle_natural_gas,06-noreste,6.60,0.00,,,7.70,457.50,,457.50,,,152.00,operational,g_ahnrr,natural_gas,16-monterrey
huinala,combined_cycle_natural_gas,06-noreste,9.80,0.00,,,7.70,366.30,,366.30,,,153.00,operational,g_ahnrr,natural_gas,16-monterrey
huinala_tg,gas_turbine_natural_gas,06-noreste,11.30,0.00,,,5.50,148.40,,148.40,,,154.00,operational,g_ahnrr,natural_gas,16-monterrey
lerma,hydroelectric,01-central,0.00,0.00,,,1.00,56.90,,56.90,,,155.00,operational,,,31-central
leona_u1,gas_turbine_natural_gas,06-noreste,22.20,0.00,,,5.50,11.70,,11.70,,,156.00,operational,g_ahnrr,natural_gas,16-monterrey
leona_u2,gas_turbine_natural_gas,06-noreste,22.20,0.00,,,5.50,11.70,,11.70,,,157.00,operational,g_ahnrr,natural_gas,16-monterrey
santa_rosa,hydroelectric,03-occidental,0.00,0.00,,,1.00,53.80,,53.80,,,158.00,operational,,,23-guadalajara
monclova_u1,gas_turbine_natural_gas,06-noreste,18.70,0.00,,,5.50,17.60,,17.60,,,159.00,operational,g_ahnrr,natural_gas,12-rio_escondido
monclova_u2,gas_turbine_natural_gas,06-noreste,18.70,0.00,,,5.50,29.30,,29.30,,,160.00,operational,g_ahnrr,natural_gas,12-rio_escondido
monterrey_iii,combined_cycle_natural_gas,06-noreste,7.70,0.00,,,7.70,436.00,,436.00,,,161.00,operational,g_ahnrr,natural_gas,16-monterrey
rio_bravo,combined_cycle_natural_gas,06-noreste,10.50,0.00,,,7.70,205.60,,205.60,,,162.00,operational,g_ahnrr,natural_gas,14-reynosa
rio_bravo_tc,thermal_natural_gas,06-noreste,10.70,0.00,,,7.10,285.90,,285.90,,,163.00,operational,g_ahnrr,natural_gas,14-reynosa
rio_bravo_ii,combined_cycle_natural_gas,06-noreste,7.70,0.00,,,7.70,480.70,,480.70,,,164.00,operational,g_ahnrr,natural_gas,15-matamoros
rio_bravo_iii,combined_cycle_natural_gas,06-noreste,7.60,0.00,,,7.70,480.70,,480.70,,,165.00,operational,g_ahnrr,natural_gas,15-matamoros
rio_bravo_iv,combined_cycle_natural_gas,06-noreste,7.60,0.00,,,7.70,485.50,,485.50,,,166.00,operational,g_ahnrr,natural_gas,15-matamoros
rio_escondido,carboelectric_coal,06-noreste,10.30,0.00,,,6.40,1148.40,,1148.40,,,167.00,operational,ca_rioes,coal,12-rio_escondido
saltillo,combined_cycle_natural_gas,06-noreste,7.50,0.00,,,7.70,239.80,,239.80,,,168.00,operational,g_ahnrr,natural_gas,17-saltillo
tamazunchale,combined_cycle_natural_gas,06-noreste,7.30,0.00,,,7.70,1101.00,,1101.00,,,169.00,operational,gn_tamazu,natural_gas,20-tamazunchale
tecnologico,gas_turbine_diesel,06-noreste,15.20,0.00,,,5.50,25.40,,25.40,,,170.00,operational,d_naciona,diesel,16-monterrey
universidad_u1,gas_turbine_natural_gas,06-noreste,19.80,0.00,,,5.50,11.70,,11.70,,,171.00,operational,g_ahnrr,natural_gas,16-monterrey
universidad_u2,gas_turbine_natural_gas,06-noreste,19.80,0.00,,,5.50,11.70,,11.70,,,172.00,operational,g_ahnrr,natural_gas,16-monterrey
el_sauz_ii,combined_cycle_natural_gas,03-occidental,8.30,0.00,,,7.70,480.70,,480.70,,,173.00,operational,g_sauzqro,natural_gas,30-queretaro
la_amistad,hydroelectric,06-noreste,0.00,0.00,,,1.00,50.70,,50.70,,,174.00,operational,,,12-rio_escondido
cobano,hydroelectric,03-occidental,0.00,0.00,,,1.00,46.10,,46.10,,,175.00,operational,,,29-lazaro_cardenas
el_fuerte,hydroelectric,04-noroeste,0.00,0.00,,,1.00,14.60,,14.60,,,176.00,operational,,,04-los_mochis
colimilla,hydroelectric,03-occidental,0.00,0.00,,,1.00,39.30,,39.30,,,177.00,operational,,,23-guadalajara
tepexic,hydroelectric,02-oriental,0.00,0.00,,,1.00,30.00,,30.00,,,178.00,operational,,,34-puebla
cogcoracion_salamanca,gas_turbine_natural_gas,03-occidental,11.80,0.00,,,5.50,388.70,,388.70,,,179.00,operational,g_petsal,natural_gas,26-salamanca
